Front,Back,Chapter,Section,Tags
"**1.** The desk officer is required to check Department email at which of the following times during the tour?

A) A) At the start of the tour only
B) B) At the start of the tour and at the 2nd hour
C) C) At the start of the tour and at the 4th hour
D) D) Every 2 hours throughout the tour","**Answer: C**

Per P.G. 202-18, the desk officer shall check Department email at the start of the tour AND at the 4th hour of the tour. These are the two mandatory email check times.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**2.** A member of the service is unaccounted for at the start of the tour. The desk officer conducts an immediate investigation but the member remains unaccounted for. At what point must the desk officer initiate AWOL procedures in accordance with A.G. 324-17?

A) A) After 1 hour
B) B) After 2 hours
C) C) After 3 hours
D) D) After 4 hours","**Answer: B**

Per P.G. 202-18, if a member is still unaccounted for after 2 hours, the desk officer must comply with A.G. 324-17 (AWOL procedures). The desk officer should conduct an immediate investigation first, but the 2-hour mark triggers the formal AWOL process.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**3.** Which of the following persons is NOT authorized to be behind the desk at a precinct station house?

A) A) A District Attorney
B) B) A representative from the Comptroller's office
C) C) A local community council president
D) D) A non-local law enforcement officer with a judicial warrant","**Answer: C**

Per P.G. 202-18, only the following are authorized behind the desk: MOS, judicial officers, Medical Examiner, Corporation Counsel, Comptroller, District Attorney, and non-local law enforcement officers with a judicial warrant. A community council president, regardless of their relationship with the command, is NOT authorized behind the desk.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**4.** The patrol supervisor shall conduct roll call at what time relative to the start of the tour?

A) A) At the exact start of the tour
B) B) 5 minutes after the start of the tour
C) C) 10 minutes after the start of the tour
D) D) 15 minutes after the start of the tour","**Answer: B**

Per P.G. 202-19, the patrol supervisor shall conduct roll call 5 minutes after the start of the tour. This allows time for members to assemble and prepare.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**5.** A patrol supervisor discovers that a seatbelt in an RMP has been intentionally vandalized. To whom must this be reported?

A) A) The platoon commander
B) B) The desk officer
C) C) The Internal Affairs Bureau
D) D) The operations coordinator","**Answer: C**

Per P.G. 202-19, seatbelt vandalism must be reported to the Internal Affairs Bureau (IAB). This is distinct from seatbelt deficiencies (mechanical failures or wear), which are reported to the platoon commander. Vandalism implies intentional damage, which is an integrity issue warranting IAB involvement.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**6.** The patrol supervisor is required to sign Officer Profile Reports monthly and deliver them by what date?

A) A) The 1st of the month
B) B) The 5th of the month
C) C) The 10th of the month
D) D) The 15th of the month","**Answer: B**

Per P.G. 202-19, the patrol supervisor shall sign Officer Profile Reports monthly and deliver them by the 5th of the month.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**7.** Which of the following best describes how the patrol supervisor should visit foot and RMP patrol posts?

A) A) At scheduled intervals announced during roll call
B) B) Once at the beginning and once at the end of the tour
C) C) Frequently at irregular intervals
D) D) Only when responding to a radio run in the area","**Answer: C**

Per P.G. 202-19, the patrol supervisor shall visit foot and RMP patrol posts FREQUENTLY at IRREGULAR intervals. The key words are ""frequently"" and ""irregular"" — predictable patterns of supervision defeat the purpose and allow officers to anticipate when the supervisor will check.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**8.** Neighborhood Safety Teams (NSTs) may NOT be deployed without which of the following?

A) A) Approval from the borough commander
B) B) A lieutenant solely assigned to NST supervision
C) C) A sergeant or above solely assigned to NST supervision
D) D) At least 6 NST members available for the tour","**Answer: C**

Per P.G. 202-20, NSTs may NOT be deployed without a sergeant or above solely assigned to NST supervision. The key word is ""solely"" — the supervisor cannot be splitting duties between NST and other assignments. The minimum rank is sergeant, not lieutenant.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**9.** What is the maximum number of NST members a single NST supervisor may supervise per tour?

A) A) 3
B) B) 4
C) C) 5
D) D) 8","**Answer: C**

Per P.G. 202-20, the NST supervisor shall supervise no more than 5 NST members per tour. Note that this is a separate limit from the 3-per-vehicle rule (P.G. 202-05), which limits the number of NST members including the supervisor in any single vehicle.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**10.** An RMP operator observes a serious emergency 4 blocks from their current location. The operator has been directed by the dispatcher to respond to a different assignment. What should the operator do?

A) A) Continue to the assigned call as directed by the dispatcher
B) B) Respond to the serious emergency since it is within 5 blocks
C) C) Radio the patrol supervisor for guidance before taking action
D) D) Respond only if no other units are available","**Answer: B**

Per P.G. 202-02, the RMP operator shall respond to a serious emergency within 5 blocks, even if directed to another assignment. The 5-block rule for serious emergencies takes priority over the dispatcher's assignment. At 4 blocks, the emergency is within the mandatory response range.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**11.** The desk officer is required to inspect which of the following BEFORE assuming desk officer duties?

A) A) The property locker and parking facilities
B) B) The arrest processing area and prisoner detention areas
C) C) All restrooms and locker rooms
D) D) The command's vehicle fleet","**Answer: B**

Per P.G. 202-18, the desk officer shall inspect the arrest processing area and prisoner detention areas BEFORE assuming duties. The property locker is inspected at the commencement of each tour (after assuming duties). Restrooms/locker rooms and parking facilities are checked during the tour but are not pre-assumption requirements.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**12.** Regarding RMP seatbelts, under what circumstance may a member of the service remove their safety belt?

A) A) When conducting a vehicle stop
B) B) When approaching a scene of a reported crime
C) C) Only in dangerous tactical situations
D) D) When transporting a prisoner","**Answer: C**

Per P.G. 202-02, safety belts shall be worn at all times and may be removed ONLY in dangerous tactical situations. None of the other listed activities — vehicle stops, approaching crime scenes, or transporting prisoners — authorize removal of the safety belt.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**13.** The CRT Supervisor shares several requirements in common with the NST Supervisor. Which of the following is required of the CRT Supervisor that is NOT explicitly required of the NST Supervisor?

A) A) Systematic BWC video review
B) B) Use of the CRAFT Supervisor Feedback Form
C) C) Completing requisite training BEFORE performing CRT supervisory duties
D) D) Being solely assigned to supervision during deployment","**Answer: C**

Per P.G. 202-36, the CRT supervisor must attend requisite training BEFORE performing CRT supervisory duties. While both roles require BWC review, CRAFT forms, and sole assignment, the explicit pre-duty training requirement is specifically highlighted for the CRT supervisor. Both roles are functionally similar, but the exam may test this distinction.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**14.** Which platoon commander is specifically responsible for vehicle maintenance and weekly vehicle inspection?

A) A) First Platoon (midnight tour)
B) B) Second Platoon (day tour)
C) C) Third Platoon (evening tour)
D) D) All platoon commanders share this duty equally","**Answer: B**

Per P.G. 202-26, the Second Platoon (day tour) lieutenant is responsible for vehicle maintenance and weekly vehicle inspection. The First Platoon (midnight tour) lieutenant is responsible for reviewing reports from the previous 24 hours.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**15.** A police officer assigned to a Neighborhood Safety Team is asked to conduct a decoy operation targeting robbery suspects. Which of the following is correct?

A) A) The officer may conduct the operation with NST supervisor approval
B) B) The officer may conduct the operation if wearing the prescribed NST uniform
C) C) The officer must NOT conduct decoy operations as an NST member
D) D) The officer may conduct the operation only during the first platoon","**Answer: C**

Per P.G. 202-05, NST officers must NOT perform duty in plainclothes or conduct decoy operations. This is an absolute prohibition regardless of supervisory approval or uniform status. Decoy operations are outside the scope of NST duties.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**16.** Which of the following persons is authorized behind the desk at a precinct station house?

A) A) The Mayor of New York City
B) B) An assistant to the District Attorney performing official duties
C) C) An assistant to a Judicial Officer performing official duties
D) D) A City Council member representing the precinct's district","**Answer: B**

Per P.G. 202-18, the DA and their assistant are authorized behind the desk. The Mayor, City Council members, and assistants to Judicial Officers are NOT authorized. DA, ME, Corporation Counsel, and Comptroller each include their assistants; Judicial Officers do NOT include assistants.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**17.** The US Flag at the command is required to be displayed during which hours?

A) A) Sunset to sunrise
B) B) Sunrise to sunset
C) C) 0600 to 2400 hours
D) D) At all times, 24 hours a day","**Answer: B**

Per P.G. 202-18, the desk officer shall ensure the US Flag is properly displayed from sunrise to sunset each day. A prior exam reversed the order to ""sunset to sunrise"" — the flag is NOT up in the dark. Watch for this reversal in answer choices.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**18.** The desk officer discovers that invoiced property has been stored in the property locker for 35 days. What action is required?

A) A) Notify the Commanding Officer and make a notation in the Command Log
B) B) Make a separate Command Log entry and notify the Operations Coordinator
C) C) Contact the Property Clerk Division and request immediate pickup
D) D) Notify the Integrity Control Officer and make a Command Log entry","**Answer: B**

Per P.G. 202-18, when property is stored in excess of 30 days, the desk officer must make a SEPARATE Command Log entry indicating invoices stored in excess of 30 days AND notify the Operations Coordinator of the number of vouchers. Additionally, expedite delivery to the final storage location.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**19.** Which of the following BEST describes the core responsibility of the Patrol Supervisor?

A) A) Responsible for all police operations in the command during the tour
B) B) Responsible for all command operations during the assigned tour
C) C) Supervise all police field operations in the command during the tour
D) D) Direct all police operations in the field during the tour","**Answer: C**

Per P.G. 202-19, the Patrol Supervisor ""supervise[s] all police field operations in command during tour."" Choice A describes the Desk Officer (""responsible for police operations""), and choice B describes the Lt. Platoon Commander (""responsible for command operations""). The exact wording — ""supervise"" vs. ""responsible for,"" and ""field"" vs. ""police"" vs. ""command"" — is critical.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**20.** The Patrol Supervisor must immediately respond to and direct activity at radio runs involving which of the following categories?

A) A) Weapons, Emotionally Disturbed Persons, Burglaries, Serious crimes
B) B) Weapons, Emergencies, Break-ins, Suspicious persons
C) C) Weapons, Emergencies, Burglaries, Serious crimes
D) D) Weapons, Emergencies, Burglaries, Shots fired","**Answer: C**

Per P.G. 202-19, the Patrol Supervisor must immediately respond to WEBS radio runs: Weapon, Emergency, Burglary, Serious crime. The mnemonic WEBS captures all four categories. EDPs, suspicious persons, and shots fired are not part of this mandatory response list.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**21.** Regarding the Patrol Supervisor's meal, which of the following is correct?

A) A) The P/S notifies the Desk Officer of meal location and relieves the Platoon Commander
B) B) The P/S notifies the Telephone Switchboard Operator of meal location and relieves the LPC or D.O. when designated
C) C) The P/S notifies the Communications Dispatcher of meal location
D) D) The P/S takes meal at the command facility without notification","**Answer: B**

Per P.G. 202-19, the Patrol Supervisor notifies the Telephone Switchboard Operator of meal location AND relieves the Lt. Platoon Commander or D.O. for meal when designated. The notification goes to the TSO, not the D.O. or dispatcher.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**22.** P.G. 202-18 states the desk officer should accept service of civil process ""when the principal administrative associate is not performing duty."" P.G. 211-21 addresses the same topic differently. Which of the following is the BEST approach for the exam?

A) A) Follow P.G. 211-21 exclusively as it is the more specific procedure
B) B) Follow P.G. 202-18 exclusively as it governs desk officer duties
C) C) Know that a conflict exists between the two procedures and be prepared for either version
D) D) The procedures do not conflict — they address different situations","**Answer: C**

P.G. 211-21 says the D.O. accepts civil process regardless (no mention of the PRAA condition), while P.G. 202-18 includes the condition ""when principal administrative associate not performing duty."" This is a known PG conflict. The exam may reference either procedure number, so know both versions exist.","Duties & Responsibilities","202",chapter_202 202_duties_responsibilities
"**1.** A burglary occurs on a subway train as it travels between two precincts. At which location should the complaint be recorded?

A) A) The precinct where the train originated
B) B) The next station where the train stops
C) C) The precinct where the victim resides
D) D) The precinct covering the midpoint of the route","**Answer: B**

Per P.G. 207-01, complaints occurring on a moving train are recorded at the NEXT station where the train stops. This is a Transit Bureau jurisdiction rule.","Complaints","207",chapter_207 207_complaints
"**2.** A continuous event begins with a kidnapping in the 75th Precinct, moves through the 77th Precinct, and the victim is murdered in the 84th Precinct. Where is the complaint recorded?

A) A) The 75th Precinct, where the continuous event began
B) B) The 77th Precinct, where the event passed through
C) C) The 84th Precinct, where the homicide occurred
D) D) The precinct of the victim's residence","**Answer: C**

Per P.G. 207-01, while continuous events are generally recorded at the precinct of the INITIAL offense, homicide is an exception — it is recorded where the homicide occurred (84th Precinct).","Complaints","207",chapter_207 207_complaints
"**3.** A continuous event involves a robbery in the 40th Precinct followed by a Rape 1st Degree in the 42nd Precinct. Where is the complaint recorded?

A) A) The 40th Precinct, where the initial offense occurred
B) B) The 42nd Precinct, where the rape occurred
C) C) Both precincts prepare separate complaint reports
D) D) The Special Victims Unit records the complaint","**Answer: B**

Per P.G. 207-01, Rape 1st Degree is an exception to the continuous event rule. Like homicide, it is recorded where the rape occurred, regardless of where the continuous event began.","Complaints","207",chapter_207 207_complaints
"**4.** A complainant reports losing her wallet. She believes she last had it at a restaurant in the 19th Precinct but first realized it was missing when she arrived home in the 23rd Precinct. Where is the complaint recorded?

A) A) The 19th Precinct, where she last had the wallet
B) B) The 23rd Precinct, where she first discovered the loss
C) C) Either precinct, at the complainant's choice
D) D) The precinct nearest to the restaurant","**Answer: B**

Per P.G. 207-01, lost property complaints are recorded at the precinct where the complainant FIRST DISCOVERED the loss, which is the 23rd Precinct.","Complaints","207",chapter_207 207_complaints
"**5.** A desk officer reviews a complaint report and determines that an identical report was already filed at the same precinct for the same incident. What is the proper disposition?

A) A) Mark the report as unfounded
B) B) Void the report
C) C) Forward both reports to the detective squad
D) D) Combine both reports into one","**Answer: B**

Per P.G. 207-03, the Desk Officer should void the report. A duplicate report is one of the grounds for voiding — the report should not have been prepared because it already exists. This is distinct from unfounded, which means investigation found no crime occurred.","Complaints","207",chapter_207 207_complaints
"**6.** What is the key distinction between a VOIDED complaint report and an UNFOUNDED complaint report?

A) A) Voided means the crime was not serious enough; unfounded means no crime occurred
B) B) Voided means the report should not have been prepared; unfounded means investigation found no offense occurred
C) C) Voided requires supervisor approval; unfounded requires detective squad approval
D) D) Voided applies to misdemeanors; unfounded applies to felonies","**Answer: B**

Per P.G. 207-03, VOIDED means the report should NOT have been prepared in the first place (e.g., duplicate, wrong precinct). UNFOUNDED means the report was properly prepared, but subsequent investigation determined that no offense actually occurred.","Complaints","207",chapter_207 207_complaints
"**7.** A patrol supervisor responds to a commercial burglary in Brooklyn where the loss is estimated at $7,000. What is the proper action regarding detective squad notification?

A) A) Do not refer to the detective squad; the loss is below the threshold
B) B) Refer to the detective squad; the loss exceeds $5,000
C) C) Refer to the Major Case Unit; commercial burglary requires their notification
D) D) Refer to the detective squad only if the loss exceeds $10,000","**Answer: B**

Per P.G. 207-07, a burglary with a loss exceeding $5,000 should be referred to the detective squad. The $10,000 threshold applies only to Manhattan. Since this occurred in Brooklyn, the $5,000 threshold applies.","Complaints","207",chapter_207 207_complaints
"**8.** A patrol supervisor responds to a commercial burglary in Manhattan where the estimated loss is $8,000. Should this be referred to the detective squad?

A) A) Yes, the loss exceeds the $5,000 citywide threshold
B) B) No, in Manhattan the threshold is $10,000
C) C) Yes, all commercial burglaries are referred regardless of loss amount
D) D) No, commercial burglaries are only referred to the Major Case Unit","**Answer: B**

Per P.G. 207-07, the detective squad referral threshold for burglary in Manhattan is $10,000, not $5,000. Since the loss of $8,000 is below the Manhattan threshold, this does not meet the dollar-amount criterion for referral (though other factors such as person present or unique MO could still warrant referral).","Complaints","207",chapter_207 207_complaints
"**9.** Which of the following situations requires the patrol supervisor to notify the Major Case Unit?

A) A) A robbery where the victim is 65 years old
B) B) A truck hijacking where the contents are valued at $80,000
C) C) A bank burglary
D) D) A burglary where a person was present in the building","**Answer: C**

Per P.G. 207-07, the Major Case Unit must be notified for bank burglary/robbery, truck contents over $100,000, commercial burglary over $100,000, and art theft. A bank burglary qualifies. The truck hijacking at $80,000 is below the $100,000 threshold. The elderly victim robbery and person-present burglary are detective squad referrals, not Major Case Unit.","Complaints","207",chapter_207 207_complaints
"**10.** In a bias motivated incident, who makes the final determination as to whether the incident IS or IS NOT a bias incident?

A) A) The patrol supervisor who responds to the scene
B) B) The Commanding Officer of the precinct where the incident occurred
C) C) The Commanding Officer of the Hate Crime Unit, after conferral with the Chief of Detectives
D) D) The Operations Unit, after reviewing the Unusual Occurrence Report","**Answer: C**

Per P.G. 207-10, ONLY the Commanding Officer of the Hate Crime Unit determines whether an incident is or is not a bias incident, after conferral with the Chief of Detectives. No other rank or unit makes this determination.","Complaints","207",chapter_207 207_complaints
"**11.** Upon notification of a potential bias incident, the Commanding Officer of the command concerned must take what specific action regarding the victims?

A) A) Assign a detective to interview the victims within 48 hours
B) B) Personally visit and interview the victims
C) C) Ensure a patrol supervisor interviews the victims before end of tour
D) D) Direct the Enhanced Crime Team to conduct victim interviews","**Answer: B**

Per P.G. 207-10, the CO of the command concerned must VISIT and PERSONALLY INTERVIEW the victims. This is a mandatory, non-delegable responsibility.","Complaints","207",chapter_207 207_complaints
"**12.** Reports related to bias motivated incidents must be submitted within what time frame?

A) A) 48 hours
B) B) 5 days
C) C) 10 days
D) D) 30 days","**Answer: C**

Per P.G. 207-10, reports related to bias incidents are due within TEN (10) DAYS of the incident.","Complaints","207",chapter_207 207_complaints
"**13.** A member of the service witnesses another member engaging in corrupt activity. The witnessing member fears retaliation and does not want to be identified. What satisfies the member's reporting obligation?

A) A) Reporting anonymously to the local precinct desk officer
B) B) Documenting the incident in the member's personal memo book
C) C) Obtaining a Confidential ID Number from the IAB Command Center
D) D) Reporting to a patrol supervisor who will relay the information","**Answer: C**

Per P.G. 207-21, members can report corruption anonymously to the IAB Command Center (24 hours) and receive a Confidential ID Number. Obtaining this number satisfies the member's reporting responsibility.","Complaints","207",chapter_207 207_complaints
"**14.** A member of the service becomes aware of corruption but decides not to report it. What is the consequence?

A) A) No consequence unless the member personally participated in the corruption
B) B) The member may face administrative counseling
C) C) Failure to report is itself considered serious misconduct
D) D) The member faces consequences only if the corruption is later discovered","**Answer: C**

Per P.G. 207-21, FAILURE TO REPORT corruption or misconduct is itself serious misconduct. All members have an ABSOLUTE DUTY to report. Additionally, conduct to cover up corruption constitutes obstruction of justice.","Complaints","207",chapter_207 207_complaints
"**15.** A civilian makes an allegation of misconduct against an officer. The officer's supervisor responds. What must the supervisor do BEFORE interviewing the accused member?

A) A) Notify the Commanding Officer and obtain permission to investigate
B) B) Interview the complainant and confer with IAB
C) C) Obtain a written statement from the accused member
D) D) Review the member's disciplinary history","**Answer: B**

Per P.G. 207-21, when an allegation is made against a member, the supervisor interviews the complainant and confers with IAB BEFORE interviewing the accused member. The sequence is critical.","Complaints","207",chapter_207 207_complaints
"**16.** Who is the first choice as the ""Investigating Supervisor"" for a civilian complaint under P.G. 207-28?

A) A) The Integrity Control Officer (ICO)
B) B) The Special Operations Lieutenant
C) C) The Platoon Commander
D) D) The Commanding Officer","**Answer: C**

Per P.G. 207-28, the hierarchy for Investigating Supervisor is: (1) Platoon Commander, (2) Special Operations Lieutenant, (3) ICO. The CO or Duty Captain acts only if all three are unavailable.","Complaints","207",chapter_207 207_complaints
"**17.** A woman arrives at the precinct to report her neighbor missing. The neighbor is not a family member. The desk officer should:

A) A) Accept the report — the complainant need not be a family member
B) B) Refuse the report — only family members can file missing person reports
C) C) Accept the report but note that it is from a non-family member and may be unreliable
D) D) Direct the woman to contact the Missing Persons Squad directly","**Answer: A**

Per P.G. 207-23, the complainant is NOT limited to family members. A guardian, school representative, hospital administrator, roommate, or any other person may report someone missing. Additionally, under NO circumstances should the complainant be referred directly to the Missing Persons Squad.","Complaints","207",chapter_207 207_complaints
"**18.** A family calls the precinct at 10 PM to report their elderly father, who has Alzheimer's disease, as missing. He left the house two hours ago. The desk officer states they must wait 24 hours before filing a report. Is this correct?

A) A) Yes, missing person reports require a 24-hour waiting period
B) B) Yes, but only for adults — children can be reported immediately
C) C) No, there are no minimum time limits before accepting a missing person report
D) D) No, but only because the person has a medical condition","**Answer: C**

Per P.G. 207-23, there are NO MINIMUM TIME LIMITS before accepting a missing person report. The report must be taken immediately, regardless of the person's age or medical condition. The 24-hour waiting period is a myth that has no basis in NYPD procedure.","Complaints","207",chapter_207 207_complaints
"**19.** Who has the authority to activate a Silver Alert for a missing vulnerable senior?

A) A) Any patrol supervisor
B) B) The Commanding Officer of the precinct of residence
C) C) A Captain or above from the Detective Bureau
D) D) The Operations Unit upon request from a precinct commander","**Answer: C**

Per P.G. 207-31, ONLY a Captain or above from the Detective Bureau may activate a Silver Alert. No lower rank and no unit outside the Detective Bureau has this authority. The alert must be issued within 24 hours of determination.","Complaints","207",chapter_207 207_complaints
"**20.** A sex crime victim presents at a hospital emergency room. How should the complaint be handled?

A) A) Patrol is dispatched to the hospital to take the complaint report
B) B) The precinct detective squad responds to the hospital
C) C) The 911 dispatcher refers the complaint directly to the Special Victims Unit; patrol does NOT respond
D) D) The hospital contacts the precinct of occurrence, which assigns a patrol unit","**Answer: C**

Per P.G. 207-33, when a sex crime victim presents at a hospital (walk-in), the 911 dispatcher refers the complaint DIRECTLY to the Special Victims Unit. Patrol is NOT directed to respond. SVU handles hospital walk-in sex crime complaints from initial response.","Complaints","207",chapter_207 207_complaints
"**21.** At 2130 hours, a male perpetrator on a moving A train displays a gun, robs a 13-year-old victim of a wallet, then at the next stop (83rd Precinct) forces the victim into a vehicle. The two perpetrators drive to a housing development in the 75th Precinct and rape the victim at gunpoint. They then drive to a desolate street in the 101st Precinct and shoot the victim in the head. Where should the complaint be recorded and what is the proper jurisdiction code?

A) A) 83rd Precinct, Transit Jurisdiction code 01
B) B) 101st Precinct, Patrol Jurisdiction code 00
C) C) 83rd Precinct, Patrol Jurisdiction 00
D) D) 75th Precinct, Housing Jurisdiction code 02","**Answer: D**

Per P.G. 207-01, this is a continuous event with a Rape 1st Degree exception. The WHERE to record rule says Rape 1 is recorded where the rape occurred (75th Precinct, on a housing development). Since it occurred on-development, the jurisdiction code is Housing (02). The attempted murder is classified as Felonious Assault (#4 on 7 Majors list) which is outranked by Rape (#2), but the WHERE and HOW rules are applied independently.","Complaints","207",chapter_207 207_complaints
"**22.** In a continuous event involving a Kidnapping in the 83rd Precinct, a Rape 1 in the 75th Precinct, and an Attempted Murder in the 101st Precinct, what is the top charge for classification purposes on the complaint report?

A) A) Attempted Murder 2nd degree
B) B) Kidnapping 1st degree
C) C) Rape 1st Degree
D) D) Robbery 1st degree","**Answer: D**

Per PG 207-01 (7 Majors Rule): Kidnapping is NOT a 7 Major, so it is eliminated. Attempted Murder is classified as Felonious Assault (#4). Rape is #2 and Robbery is #3. Since the scenario also includes a Robbery from the original crime, and Robbery (#3) is below Rape (#2), the classification is Robbery 1st Degree. Remember: the HOW to classify rule is applied independently from the WHERE to record rule.","Complaints","207",chapter_207 207_complaints
