Front,Back,Source,Tags
"**43.** A member under investigation has the right to view which recording prior to questioning?

A) A) Any CCTV footage from the precinct
B) B) Their own Body-Worn Camera recording related to the incident
C) C) All BWC recordings from all officers at the scene
D) D) No recordings may be viewed","**Answer: B**

Source: A.G. 318-11

A.G. 318-11 grants a member the right to view their own Body-Worn Camera recording related to the incident prior to questioning.","A.G. 318-11",master_exam question_43
"**44.** A UMOS who refuses to answer questions specifically related to official duties will be:

A) A) Given a verbal reprimand
B) B) Placed on modified assignment
C) C) Subject to suspension from duty
D) D) Charged with insubordination only","**Answer: C**

Source: A.G. 318-11

A.G. 318-11 requires members to answer questions related to official duties, and refusal results in suspension from duty.","A.G. 318-11",master_exam question_44
"**45.** Under the Garrity warning, a member's statements during an official investigation:

A) A) Can be used in both criminal and departmental proceedings
B) B) Cannot be used in criminal proceedings but CAN be used in departmental charges
C) C) Cannot be used in either criminal or departmental proceedings
D) D) Can be used in criminal proceedings but NOT departmental charges","**Answer: B**

Source: A.G. 318-11

Under Garrity, compelled statements cannot be used in criminal proceedings but remain available for departmental charges.","A.G. 318-11",master_exam question_45
"**46.** An interrogation after CHARGES AND SPECIFICATIONS must be completed at least how many days before trial?

A) A) 5 days
B) B) 10 days
C) C) 15 days
D) D) 20 days","**Answer: B**

Source: A.G. 318-11

A.G. 318-11 requires interrogation after CHARGES AND SPECIFICATIONS to be completed at least 10 days prior to the Department trial date.","A.G. 318-11",master_exam question_46
"**47.** Which of the following is a prohibited interrogation tactic?

A) A) Recording the interrogation mechanically
B) B) Having a line organization representative present
C) C) Promises of reward for answering questions
D) D) Scheduling interrogation during business hours","**Answer: C**

Source: A.G. 318-11

A.G. 318-11 explicitly prohibits promises of reward for answering questions, along with off-the-record questions and threats of punishment.","A.G. 318-11",master_exam question_47
"**48.** Questions and answers from an interrogation may be released outside the Department only with written approval of:

A) A) The Police Commissioner
B) B) The Chief of Department
C) C) The Deputy Commissioner - Legal Matters
D) D) The Chief of Internal Affairs","**Answer: C**

Source: A.G. 318-11

Interrogation questions and answers may only be released outside the Department with written approval of the Deputy Commissioner - Legal Matters.","A.G. 318-11",master_exam question_48
"**49.** A civilian member must report an on-duty injury no later than:

A) A) 24 hours
B) B) 3 days
C) C) 7 days
D) D) 30 days","**Answer: C**

Source: A.G. 319-08

A.G. 319-08 requires a civilian member to report an on-duty injury no later than 7 days after the incident.","A.G. 319-08",master_exam question_49
"**50.** Who grants leave with pay for the first week's absence of a civilian member covered by Workers Compensation?

A) A) The commanding officer
B) B) The desk officer
C) C) The Chief of Personnel
D) D) The Deputy Commissioner, Management and Budget","**Answer: C**

Source: A.G. 319-08

A.G. 319-08 states the Chief of Personnel grants leave with pay for the first week's absence of a civilian member covered by Workers Compensation.","A.G. 319-08",master_exam question_50
"**51.** A Tier 2 member must report to the Police Pension Fund:

A) A) At least 10 calendar days in advance
B) B) At least 30 calendar days in advance
C) C) Without notice
D) D) At least 60 calendar days in advance","**Answer: B**

Source: A.G. 329-06

A.G. 329-06 requires Tier 2 members to report to the Police Pension Fund at least 30 calendar days in advance of their discontinuance date.","A.G. 329-06",master_exam question_51
"**52.** A LEOSA Certification Card expires:

A) A) 6 months from last range requalification
B) B) 12 months from last range requalification
C) C) 24 months from retirement
D) D) It does not expire","**Answer: B**

Source: A.G. 329-06

A.G. 329-06 specifies the LEOSA Certification Card expires 12 months from the date of last range requalification.","A.G. 329-06",master_exam question_52
"**53.** After commencement of terminal leave:

A) A) Member may be granted vacation
B) B) Member may be placed on sick report for any illness
C) C) No leaves of any kind may be granted
D) D) Member may request comp time","**Answer: C**

Source: A.G. 329-06

A.G. 329-06 states that after commencement of terminal leave, no leaves of any kind may be granted.","A.G. 329-06",master_exam question_53
"**54.** Resignation bars reinstatement EXCEPT if approved by:

A) A) The Chief of Department within 6 months
B) B) The Police Commissioner within one year
C) C) The First Deputy Commissioner within 2 years
D) D) The Chief of Personnel within 90 days","**Answer: B**

Source: A.G. 329-07

A.G. 329-07 provides that resignation bars reinstatement except if approved by the Police Commissioner within one year.","A.G. 329-07",master_exam question_54
"**55.** Tier 2 members must retire no later than midnight of the eve of their:

A) A) 60th birthday
B) B) 62nd birthday
C) C) 63rd birthday
D) D) 65th birthday","**Answer: C**

Source: A.G. 329-06

A.G. 329-06 mandates Tier 2 members retire no later than midnight of the eve of their 63rd birthday.","A.G. 329-06",master_exam question_55
"**56.** A resigning member's firearms must be delivered to:

A) A) Manhattan Property Clerk
B) B) Firearms and Tactics Section
C) C) Borough Property Clerk's Office only
D) D) The member's permanent command","**Answer: C**

Source: A.G. 329-07

A.G. 329-07 requires a resigning member to deliver firearms to the Borough Property Clerk's Office only.","A.G. 329-07",master_exam question_56
"**57.** Members on terminal leave are available for duty only during:

A) A) Regular scheduled tours
B) B) Emergency situations
C) C) Programmatic overtime
D) D) Detail assignments","**Answer: B**

Source: A.G. 329-06

A.G. 329-06 states members on terminal leave are available for duty only during emergency situations.","A.G. 329-06",master_exam question_57
"**58.** The investigating supervisor for a LOD injury signs off on the report:

A) A) Within 24 hours
B) B) Within 48 hours
C) C) Prior to completion of tour
D) D) By end of the following tour","**Answer: C**

Source: A.G. 330-03

A.G. 330-03 requires the investigating supervisor to sign off on the LOD injury report prior to completion of tour.","A.G. 330-03",master_exam question_58
"**59.** For a LOD injury outside NYC, the investigating supervisor must be:

A) A) Sergeant or above
B) B) Lieutenant or above
C) C) Captain or above
D) D) Inspector or above","**Answer: C**

Source: A.G. 330-03

A.G. 330-03 requires the investigating supervisor for a LOD injury outside NYC to be in the rank of captain or above.","A.G. 330-03",master_exam question_59
"**60.** The desk officer notifies Sick Desk for a LOD injury when:

A) A) The injury occurred during any part of the tour
B) B) The injury occurred during the first two hours of a tour
C) C) The member was treated at the hospital
D) D) The injury was witnessed by multiple members","**Answer: B**

Source: A.G. 330-03

A.G. 330-03 requires the desk officer to notify Sick Desk when the LOD injury occurred during the first two hours of a tour.","A.G. 330-03",master_exam question_60
"**61.** When a UMOS is treated for a LOD injury, which address goes in hospital records?

A) A) Member's home address
B) B) Precinct of occurrence
C) C) Medical Division, 1 Lefrak City Plaza
D) D) Member's permanent command","**Answer: C**

Source: A.G. 330-03

A.G. 330-03 mandates that only the Medical Division address (1 Lefrak City Plaza) be entered in hospital records for LOD injuries.","A.G. 330-03",master_exam question_61
"**62.** A member struck by a bullet on a protective vest and apparently uninjured must:

A) A) Continue duty without evaluation
B) B) Be examined by a doctor for blunt body trauma or internal injury
C) C) Be placed on sick report for 24 hours
D) D) Report to Medical Division the following day","**Answer: B**

Source: A.G. 330-03

A.G. 330-03 requires a member struck by a bullet on a protective vest to be examined by a doctor for blunt body trauma or internal injury.","A.G. 330-03",master_exam question_62
"**63.** The Trauma Counseling follow-up meeting occurs:

A) A) 24 hours after the event
B) B) 48 hours after the event or initial contact
C) C) One week after the event
D) D) 30 days after the event","**Answer: B**

Source: A.G. 330-07

A.G. 330-07 schedules the Trauma Counseling follow-up meeting at 48 hours after the event or initial contact.","A.G. 330-07",master_exam question_63
"**64.** All conversations with the Trauma Counseling Team are:

A) A) Reported to the commanding officer
B) B) Recorded in the Command Log
C) C) Strictly confidential
D) D) Shared with Internal Affairs Bureau","**Answer: C**

Source: A.G. 330-07

A.G. 330-07 provides that all conversations with the Trauma Counseling Team are strictly confidential.","A.G. 330-07",master_exam question_64
"**65.** The Trauma Counseling Team responds to all LOD incidents plus any incident requested by:

A) A) The desk officer
B) B) A captain or above
C) C) Internal Affairs Bureau
D) D) The patrol supervisor","**Answer: B**

Source: A.G. 330-07

A.G. 330-07 states the Trauma Counseling Team responds to all LOD incidents plus any incident requested by a captain or above.","A.G. 330-07",master_exam question_65
"**66.** The bleach solution for cleaning blood spills is:

A) A) 1 part bleach to 5 parts water
B) B) 1 part bleach to 10 parts water
C) C) 1 part bleach to 20 parts water
D) D) Undiluted bleach","**Answer: B**

Source: A.G. 330-09

A.G. 330-09 specifies blood spills must be cleaned with a freshly mixed solution of 1 part bleach to 10 parts water.","A.G. 330-09",master_exam question_66
"**67.** Hypodermic needles should be handled using:

A) A) Two-handed grip technique
B) B) One-handed ""scoop"" technique
C) C) Pliers and container method
D) D) Gloved removal technique","**Answer: B**

Source: A.G. 330-09

A.G. 330-09 requires hypodermic needles to be placed in a sharps container using the one-handed scoop technique.","A.G. 330-09",master_exam question_67
"**68.** To avoid unnecessary exposure at a scene, control of a person suspected of having an infectious disease should be assigned to:

A) A) The patrol supervisor
B) B) EMS personnel only
C) C) An officer who has already had contact with the person
D) D) The next available officer","**Answer: C**

Source: A.G. 330-09

A.G. 330-09 states control of a person suspected of having an infectious disease should be assigned to an officer who has already had contact.","A.G. 330-09",master_exam question_68
"**69.** Bleach solution for blood spills should be disposed of in:

A) A) Any available drain
B) B) A urinal or toilet
C) C) A sink only
D) D) A hazardous waste container","**Answer: C**

Source: A.G. 330-09

A.G. 330-09 requires bleach solution to be disposed of in a sink only, not a urinal or toilet which may contain reactive deodorizers.","A.G. 330-09",master_exam question_69
"**70.** Under CIMS, the recommended span of control is:

A) A) 1 to 3
B) B) 3 to 7
C) C) 5 to 10
D) D) 10 to 15","**Answer: B**

Source: P.G. 220-01

P.G. 220-01 establishes the CIMS recommended span of control as 3 to 7 for general use.","P.G. 220-01",master_exam question_70
"**71.** In the CIMS Incident Command structure, the FIRST priority is always:

A) A) Incident stabilization
B) B) Life safety
C) C) Property conservation
D) D) Evidence preservation","**Answer: B**

Source: P.G. 220-01

P.G. 220-01 establishes Life Safety as the immediate first priority under CIMS, superseding all other objectives.","P.G. 220-01",master_exam question_71
"**72.** A Unified Command is used when:

A) A) Only one agency responds
B) B) Multiple agencies or jurisdictions are involved
C) C) The incident is minor
D) D) The Police Commissioner directs","**Answer: B**

Source: P.G. 220-01

P.G. 220-01 provides that Unified Command is used when multiple agencies or jurisdictions share primary authority over an incident.","P.G. 220-01",master_exam question_72
"**73.** Under P.G. 207-17, when a citizen wishes to make a complaint against a member of the service, the desk officer must:

A) A) Discourage the complaint if minor
B) B) Accept the complaint and prepare a COMPLAINT REPORT
C) C) Refer the citizen to CCRB or IAB only
D) D) Require the citizen to return during business hours","**Answer: B**

Source: P.G. 207-17

The desk officer is required to accept any complaint a citizen wishes to make against a member of the service and prepare a COMPLAINT REPORT.","P.G. 207-17",master_exam question_73
"**74.** When arresting a juvenile (under 16), the arresting officer must:

A) A) Handcuff the juvenile in all cases
B) B) Not handcuff unless necessary for safety
C) C) Transport in an RMP with adult prisoners
D) D) Process at central booking","**Answer: B**

Source: P.G. 215-01

Department policy is to avoid handcuffing juveniles unless necessary for safety.","P.G. 215-01",master_exam question_74
"**75.** A desk officer who receives notification of an arrest must ensure the prisoner is searched by:

A) A) Any available officer
B) B) A member of the same sex as the prisoner
C) C) The arresting officer only
D) D) A supervisor","**Answer: B**

Source: P.G. 208-03

P.G. 208-03 requires the facility search to be conducted by a member of the same sex as the prisoner.","P.G. 208-03",master_exam question_75
"**76.** Prisoners classified as emotionally disturbed must be:

A) A) Placed in a cell with other prisoners
B) B) Kept under constant supervision
C) C) Released to EMS immediately
D) D) Transported to central booking","**Answer: B**

Source: P.G. 210-04

P.G. 210-04 requires emotionally disturbed prisoners to be kept under constant supervision.","P.G. 210-04",master_exam question_76
"**77.** When property is recovered at a crime scene, the first officer must:

A) A) Move property to a secure location
B) B) Safeguard the property in place until detective arrival
C) C) Voucher the property immediately
D) D) Turn property over to the desk officer","**Answer: B**

Source: P.G. 218-01

P.G. 218-01 requires the first officer to safeguard property in place until detective arrival.","P.G. 218-01",master_exam question_77
"**78.** A FINEST message must be transmitted for:

A) A) All arrests
B) B) Missing persons
C) C) Stolen vehicles valued over $1,000
D) D) All of the above","**Answer: D**

Source: P.G. 212-59

P.G. 212-59 mandates FINEST messages for all arrests, missing persons, and stolen vehicles valued over $1,000.","P.G. 212-59",master_exam question_78
"**79.** The desk officer must notify the Operations Unit for which of the following?

A) A) Any arrest involving a firearm
B) B) An unusual occurrence
C) C) A minor property crime
D) D) A routine aided case","**Answer: B**

Source: P.G. 212-09

P.G. 212-09 requires the desk officer to notify the Operations Unit for unusual occurrences.","P.G. 212-09",master_exam question_79
"**80.** Under P.G. 212-95, roll call training is conducted by:

A) A) The commanding officer
B) B) The platoon commander or designee
C) C) The training sergeant
D) D) Any available supervisor","**Answer: C**

Source: P.G. 212-95

P.G. 212-95 assigns responsibility for conducting roll call training to the training sergeant.","P.G. 212-95",master_exam question_80
"**81.** When a member of the service is the subject of a CCRB complaint, the desk officer must:

A) A) Investigate the complaint
B) B) Notify the member's commanding officer
C) C) Forward the complaint to IAB
D) D) Enter the complaint in the Command Log and notify the CO","**Answer: D**

Source: P.G. 207-17

When a MOS is the subject of a CCRB complaint, the desk officer must document it in the Command Log and notify the commanding officer.","P.G. 207-17",master_exam question_81
"**82.** A vehicle stop based on reasonable suspicion is classified as a:

A) A) Level 1 encounter
B) B) Level 2 encounter
C) C) Level 3 encounter
D) D) Arrest","**Answer: C**

Source: P.G. 208-01

Under P.G. 208-01, a vehicle stop based on reasonable suspicion constitutes a Level 3 encounter.","P.G. 208-01",master_exam question_82
"**83.** The RIGHT TO KNOW BUSINESS CARD must be offered during:

A) A) All arrests
B) B) Vehicle checkpoints and stops
C) C) Criminal investigations only
D) D) When requested by the subject","**Answer: B**

Source: P.G. 221-16

P.G. 221-16 requires the Right to Know Business Card to be offered during vehicle checkpoints and stops.","P.G. 221-16",master_exam question_83
