Front,Back,Chapter,Tags
"ITB","Information Technology Bureau","Duties & Responsibilities",key_terms 202_duties_responsibilities
"FORMS-P","FORMS Property","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Mnemonic","Stands For","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CAT PAC","Clerk, APO (Arrest Process Officer), Telephone Switchboard Operator, Patrol Wagon Operator, Attendant, Community Guide","Duties & Responsibilities",key_terms 202_duties_responsibilities
"WEBS","Weapon, Emergency, Burglary, Serious crime","Duties & Responsibilities",key_terms 202_duties_responsibilities
"C.E.O.","Commanding Officer, Executive Officer, Operations Coordinator","Duties & Responsibilities",key_terms 202_duties_responsibilities
"I.A.D.I.E.","Identify, Analyze, Design, Implement, Evaluate","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Role","Procedure","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Desk Officer","P.G. 202-18","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Patrol Supervisor","P.G. 202-19","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Platoon Commander","P.G. 202-26","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Special Operations Lieutenant","P.G. 202-27","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Integrity Control Officer (ICO)","P.G. 202-29","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Operations Coordinator","P.G. 202-28","Duties & Responsibilities",key_terms 202_duties_responsibilities
"NST Supervisor","P.G. 202-20","Duties & Responsibilities",key_terms 202_duties_responsibilities
"CRT Supervisor","P.G. 202-36","Duties & Responsibilities",key_terms 202_duties_responsibilities
"QOL Sergeant","P.G. 202-39","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Training Sergeant","P.G. 202-21","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Field Intelligence Sergeant","P.G. 202-25","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Shall","Mandatory — MUST be done","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Must","Mandatory — same force as ""shall""","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Ensure","Supervisory mandate — the supervisor is accountable for the outcome","Duties & Responsibilities",key_terms 202_duties_responsibilities
"May","Discretionary — permitted but not required","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Should","Recommended — expected but with some flexibility","Duties & Responsibilities",key_terms 202_duties_responsibilities
"Complaint","Allegation of an unlawful or improper act or omission, OR other condition requiring investigation to determine if an unlawful act or omission occurred","Complaints",key_terms 207_complaints
"Pick-Up Arrest","An arrest for an offense or juvenile delinquency NOT previously reported","Complaints",key_terms 207_complaints
"Continuous Event","Offense or multiple offenses committed against a complainant; an ongoing situation occurring in different precincts and/or boroughs","Complaints",key_terms 207_complaints
"Incident","Event where one or more criminal offenses were committed against one or more victims by one or more offenders","Complaints",key_terms 207_complaints
"Offense","A single criminal act within an incident; up to 10 may be recorded per incident","Complaints",key_terms 207_complaints
"Active Case","A case with leads still being pursued or investigative steps remaining","Complaints",key_terms 207_complaints
"Closed Case","A case where all reasonable investigative steps have been completed","Complaints",key_terms 207_complaints
"Unfounded Case","Investigation determines that no offense actually occurred (report was properly prepared)","Complaints",key_terms 207_complaints
"Voided","The report should NOT have been prepared in the first place (procedural error)","Complaints",key_terms 207_complaints
"Unfounded","The report was properly prepared, but no offense actually occurred (investigative finding)","Complaints",key_terms 207_complaints
"Bias Incident","An offense motivated by bias based on race, religion, ethnicity, gender, age, disability, or sexual orientation (including LGBTQIA+)","Complaints",key_terms 207_complaints
"Disability","A physical, mental, or medical impairment that substantially limits major life activities","Complaints",key_terms 207_complaints
"Vulnerable Senior","A person 65+ with dementia (Alzheimer's or similar), missing under circumstances indicating imminent danger","Complaints",key_terms 207_complaints
"Silver Alert","Alert system for missing vulnerable seniors; may also apply to under-65 with dementia per Detective Zone CO","Complaints",key_terms 207_complaints
"Blue Alert","Alert system activated when a law enforcement officer is killed, seriously injured, or missing in the line of duty and the suspect is at large","Complaints",key_terms 207_complaints
"Corruption/Other Misconduct","Illegal or improper conduct by a member of the service; all members have an absolute duty to report","Complaints",key_terms 207_complaints
"Confidential ID Number","Number issued to anonymous reporters of corruption; obtaining it satisfies the reporting duty","Complaints",key_terms 207_complaints
"Investigating Supervisor","The supervisor who investigates a civilian complaint: Platoon Commander, Special Ops Lt., ICO, or CO/Duty Captain","Complaints",key_terms 207_complaints
"Supervisor Reviewing Civilian Complaint","Must be at least one rank higher than the member receiving the complaint","Complaints",key_terms 207_complaints
"7 Majors Rule","Hierarchy for classifying top charge in multi-crime complaints: Murder, Rape 1, Robbery, Felonious Assault, Burglary, Grand Larceny, GLA","Complaints",key_terms 207_complaints
"NIBRS","National Incident Based Reporting System; governs how multiple offenses from a single event are recorded (up to 10, hierarchy-based)","Complaints",key_terms 207_complaints
"Rosario Material","Complaint Report Worksheets (scratch copies) kept on file as discoverable material; all associated forms attached to the printed OMNI 61","Complaints",key_terms 207_complaints
"Jurisdiction Code 00","NYPD Patrol jurisdiction","Complaints",key_terms 207_complaints
"Jurisdiction Code 01","Transit jurisdiction","Complaints",key_terms 207_complaints
"Jurisdiction Code 02","Housing jurisdiction","Complaints",key_terms 207_complaints
"FADO","Force Unnecessary, Abuse of Authority, Discourtesy, Offensive Language -- the four categories of CCRB complaints","Complaints",key_terms 207_complaints
"Disability (Bias)","Physical, medical, mental, or psychological impairment or history/record of such; includes bodily organ/system impairment and recovering addicts (if currently recovering AND not currently abusing)","Complaints",key_terms 207_complaints
"Non-Bias Log #","Obtained by calling Hate Crimes (0800x2400) when CO determines incident is NOT bias","Complaints",key_terms 207_complaints
"Bias Log #","Obtained by calling Operations when CO determines incident IS possible bias","Complaints",key_terms 207_complaints
"MEO 16 of 1978","Mayor's Executive Order 16 of 1978; PG 207-21 and 207-22 serve as NYPD's guidelines for reporting corruption per this order","Complaints",key_terms 207_complaints
"Minor Misconduct (Non-NYPD)","DWI and Domestic Violence by non-NYPD government agents; documented on 61 with copies to IAB (no 49 needed)","Complaints",key_terms 207_complaints
"Theft from Department Locker","Includes actual theft AND attempted break-ins; requires IAB notification and log #","Complaints",key_terms 207_complaints
"Safe Return Program","MedicAlert + Alzheimer's Association program; check for bracelet/necklace; obtain Safe Return ID #","Complaints",key_terms 207_complaints
"Operation Safe Child","Program for registered children; obtain info from Safe Child Card when available","Complaints",key_terms 207_complaints
"DAS Messenger","Domain Awareness System Messenger application; used by Patrol Supervisor to transmit missing person message with photo and details","Complaints",key_terms 207_complaints
"CCRB #","Number issued by CCRB Intake Unit for FADO complaints","Complaints",key_terms 207_complaints
"COD #","Chief of Department number; issued for misconduct complaints that are not FADO (e.g., unwarranted traffic summons)","Complaints",key_terms 207_complaints
"CCRB Statistical Summary Sheet","Prepared by receiving MOS; complainant does NOT receive a copy","Complaints",key_terms 207_complaints
"Reviewing Supervisor","Must be at least one rank above the RECEIVING member (not the investigating member)","Complaints",key_terms 207_complaints
"U Visa","A visa for victims of qualifying criminal activity who have suffered substantial abuse and are helpful to law enforcement","Complaints",key_terms 207_complaints
"Qualifying Criminal Activity","Specified crimes that make a victim eligible for U Visa certification","Complaints",key_terms 207_complaints
"Certifying Official","The Department official authorized to sign U Visa certification forms","Complaints",key_terms 207_complaints
"Form Name","Form Number","Complaints",key_terms 207_complaints
"Complaint Report Worksheet","PD313-152A","Complaints",key_terms 207_complaints
"Complaint Report","PD313-152","Complaints",key_terms 207_complaints
"Civilian Complaint Form","PD313-154","Complaints",key_terms 207_complaints
"Unusual Occurrence Report","PD370-152","Complaints",key_terms 207_complaints
"Complaint Index Report","—","Complaints",key_terms 207_complaints
"Omniform Complaint Revision","—","Complaints",key_terms 207_complaints
"Abbreviation","Full Name","Complaints",key_terms 207_complaints
"SVU","Special Victims Unit","Complaints",key_terms 207_complaints
"IAB","Internal Affairs Bureau","Complaints",key_terms 207_complaints
"ECT","Enhanced Crime Team","Complaints",key_terms 207_complaints
"Hate Crime Unit","Hate Crime Unit (under Detective Bureau)","Complaints",key_terms 207_complaints
"Major Case Unit","Major Case Unit","Complaints",key_terms 207_complaints
"JVCTF","Joint Violent Crimes Task Force","Complaints",key_terms 207_complaints
"Financial Crimes Task Force","Financial Crimes Task Force","Complaints",key_terms 207_complaints
"Missing Persons Squad","Missing Persons Squad","Complaints",key_terms 207_complaints
"ATF","Bureau of Alcohol, Tobacco, Firearms and Explosives","Complaints",key_terms 207_complaints
"DB Wheel","Detective Bureau Wheel","Complaints",key_terms 207_complaints
"ICO","Integrity Control Officer","Complaints",key_terms 207_complaints
"SOL","Special Operations Lieutenant","Complaints",key_terms 207_complaints
"HCU","Hate Crime Unit","Complaints",key_terms 207_complaints
"MPS","Missing Persons Squad","Complaints",key_terms 207_complaints
"DAS","Domain Awareness System","Complaints",key_terms 207_complaints
"ISS","Investigative Support Section","Complaints",key_terms 207_complaints
"EEOD","Equal Employment Opportunity Division","Complaints",key_terms 207_complaints
"IRS","Investigative Review Section","Complaints",key_terms 207_complaints
"CCRB","Civilian Complaint Review Board","Complaints",key_terms 207_complaints
"DOI","Department of Investigations","Complaints",key_terms 207_complaints
"Arrest","The taking of a person into custody in order that they may be held to answer for a criminal offense or violation","Arrests",key_terms 208_arrests
"Pick-Up Arrest","An arrest of a person wanted by another command or agency","Arrests",key_terms 208_arrests
"Preferred Name","The name an arrestee prefers to be called, based on their gender identity","Arrests",key_terms 208_arrests
"Probable Cause","Facts and circumstances that would lead a reasonable person to believe a crime has been, is being, or is about to be committed","Arrests",key_terms 208_arrests
"Reasonable Suspicion (for strip search)","Articulable facts supporting a belief that weapons, contraband, or evidence are concealed on the person; required standard for authorizing a strip search","Arrests",key_terms 208_arrests
"Frisk / Field Search","External body examination conducted immediately after apprehension; special attention to waistband, armpit, collar, groin","Arrests",key_terms 208_arrests
"Search at Police Facility","Thorough search by same-gender member with removal of outer garments; NOT the same as a strip search","Arrests",key_terms 208_arrests
"Strip Search","Search requiring removal of undergarments; may NOT be conducted routinely; requires reasonable suspicion and approval of arresting officer's immediate supervisor or borough court section supervisor; same gender, secure area, utmost privacy","Arrests",key_terms 208_arrests
"High Risk Prisoner","A prisoner determined by the desk officer to be an escape risk; requires TWO MOS assigned to escort at ALL times","Arrests",key_terms 208_arrests
"Resisting Recidivist","A person arrested for Resisting Arrest, Assault 2nd (sub 3), Assault on PO, or Aggravated Assault on PO, 2 or more times within the past 5 years; processing enhanced with detective squad","Arrests",key_terms 208_arrests
"DAT (Desk Appearance Ticket)","An appearance ticket issued in lieu of continued detention for Class E felonies, misdemeanors, and violations; directs defendant to appear in court at a later date","Arrests",key_terms 208_arrests
"Satisfactory Form of Identification","NYS license, passport, US military ID, citizenship papers, out-of-state license, resident alien card, Municipal ID (including Canadian), Public Benefit Card; Department REQUIRED to accept these forms","Arrests",key_terms 208_arrests
"#","Warning Text","Arrests",key_terms 208_arrests
"1","You have the right to remain silent","Arrests",key_terms 208_arrests
"2","Anything you say may be used against you","Arrests",key_terms 208_arrests
"3","You have the right to an attorney before and during questioning","Arrests",key_terms 208_arrests
"4","An attorney will be provided if you cannot afford one","Arrests",key_terms 208_arrests
"5","You have the right to remain silent until you consult with an attorney","Arrests",key_terms 208_arrests
"6","Are you willing to answer questions?","Arrests",key_terms 208_arrests
"Family/Household (FCA Definition)","Legally married, formerly married, related by marriage, related by blood, child in common, intimate relationship","Arrests",key_terms 208_arrests
"Family/Household (NYPD Expanded)","FCA definition PLUS persons currently or formerly living together in a family-type relationship","Arrests",key_terms 208_arrests
"Family Offense","Specific offenses committed between family/household members, including harassment, assault, disorderly conduct, stalking, menacing, sexual misconduct, criminal mischief, strangulation, identity theft, grand larceny, coercion, unlawful dissemination of intimate image","Arrests",key_terms 208_arrests
"Concurrent Jurisdiction","When both Criminal Court and Family Court have jurisdiction; requires: (1) family offense, (2) FCA relationship, (3) offender 18+ (or 16-17 charged with felony-level family offense)","Arrests",key_terms 208_arrests
"Order of Protection","A court order directing a person to refrain from certain conduct toward a protected party; violation may be a mandatory arrest","Arrests",key_terms 208_arrests
"Lineup","An identification procedure where a suspect is placed among at least 5 other persons (minimum 6 total); same sex, race, approximate age/height/build; suspect selects position; detective supervisor supervises","Arrests",key_terms 208_arrests
"Showup","A prompt, on-the-scene, singly, one-to-one display of a suspect to a witness; used close in time and proximity to the crime","Arrests",key_terms 208_arrests
"Foreign National","Any person who is NOT a United States citizen, regardless of immigration status","Arrests",key_terms 208_arrests
"Mandatory Notification Countries","Countries requiring automatic consular notification upon arrest of their citizen, handled through the Intelligence Division Operations Unit (24 hrs)","Arrests",key_terms 208_arrests
"Bribery Arrest (PG 208-34)","The arrest process for the CHARGE of Bribery; covers notification chain, reporting, and court appearances","Arrests",key_terms 208_arrests
"Attempted Bribery (PG 208-35)","The process of getting wired up when a UMOS is offered a bribe; Attempted Bribery is NOT a criminal charge — the perp is charged with Bribery","Arrests",key_terms 208_arrests
"4 Ds (Bribery Court Appearances)","Date, Docket#, DA's name, Disposition — the four items an arresting officer must record for all court appearances in a bribery case","Arrests",key_terms 208_arrests
"DRAMAS","Mnemonic for personal family offenses: Dis Con / Reckless Endangerment / Aggravated Harassment 2nd, Harassment 1st or 2nd / Menacing 2nd or 3rd / Assault 2nd or 3rd (or Attempts) / Strangulation 1st or 2nd, Criminal Obstruction of Breathing, Stalking all degrees","Arrests",key_terms 208_arrests
"C GIF CUSS","Mnemonic for property/sexual family offenses: Criminal Mischief (all degrees) / Grand Larceny (3rd and 4th) / Identity Theft (1st, 2nd, 3rd) / Forcible Touching / Coercion 2nd (sub 1, 2, 3) / Unlawful Dissemination of Intimate Image / Sexual Misconduct / Sexual Abuse 3rd & Sexual Abuse 2nd sub 1","Arrests",key_terms 208_arrests
"Primary Physical Aggressor","The person identified as the primary aggressor in a simultaneous misdemeanor vs. misdemeanor family offense; determined by comparative extent of injuries, defensive acts, current/future threats, and prior DV history","Arrests",key_terms 208_arrests
"ICCU","Inter City Correspondence Unit — receives forwarded paperwork for DV incidents occurring outside NYC but within NYS","Arrests",key_terms 208_arrests
"Hope Card","Wallet-size card or digital version for Final OOPs; UMOS scan QR code with Dept phone to verify (Ops Order 11 s.2025)","Arrests",key_terms 208_arrests
"DVPO","Domestic Violence Prevention Officer — opens/manages cases in DVIMS, assists in apprehension, conducts home visits, follows up with victims on photos","Arrests",key_terms 208_arrests
"DVIMS","Domestic Violence Incident Management System — used by DVPO for case management (NOT the same as ECMS)","Arrests",key_terms 208_arrests
"ECMS","Enterprise Case Management System — used by assigned detective to document DVPO arrest efforts","Arrests",key_terms 208_arrests
"I-Card","Investigation Card activated for named DV perpetrator; must be activated no later than end of assigned tour; should include NYSID #","Arrests",key_terms 208_arrests
"Rosario Material","DIRs are potential Rosario material; if an arrest is made, A/O must give copy of DIR to ADA","Arrests",key_terms 208_arrests
"Mandatory Seizure","WILL seize firearms and license/permit if: OOP exists against holder, physical force or threat of involved in incident, or license holder is arrested (regardless of charge)","Arrests",key_terms 208_arrests
"Discretionary Seizure","MAY seize if UMOS reasonably believes presence of firearms creates imminent risk of physical injury or higher","Arrests",key_terms 208_arrests
"Form Name","Form Number","Arrests",key_terms 208_arrests
"OLBS Worksheet","PD244-159","Arrests",key_terms 208_arrests
"Arrest Supplement","PD244-157","Arrests",key_terms 208_arrests
"Desk Appearance Ticket","PD260-121","Arrests",key_terms 208_arrests
"Investigation Card","PD373-163","Arrests",key_terms 208_arrests
"Abbreviation","Full Name","Arrests",key_terms 208_arrests
"BWC","Body-Worn Camera","Arrests",key_terms 208_arrests
"OLBS","Online Booking System","Arrests",key_terms 208_arrests
"NYSID","New York State Identification Number","Arrests",key_terms 208_arrests
"DA","District Attorney","Arrests",key_terms 208_arrests
"FCA","Family Court Act","Arrests",key_terms 208_arrests
"SVU","Special Victims Unit","Arrests",key_terms 208_arrests
"DOCCS","Department of Corrections and Community Supervision","Arrests",key_terms 208_arrests
"TBTA","Triborough Bridge and Tunnel Authority","Arrests",key_terms 208_arrests
"CUNY","City University of New York","Arrests",key_terms 208_arrests
"DOE","Department of Education","Arrests",key_terms 208_arrests
"VTL","Vehicle and Traffic Law","Arrests",key_terms 208_arrests
"ICCU","Inter City Correspondence Unit","Arrests",key_terms 208_arrests
"DVPO","Domestic Violence Prevention Officer","Arrests",key_terms 208_arrests
"DVIMS","Domestic Violence Incident Management System","Arrests",key_terms 208_arrests
"ECMS","Enterprise Case Management System","Arrests",key_terms 208_arrests
"IAB","Internal Affairs Bureau","Arrests",key_terms 208_arrests
"BCS","Borough Court Section","Arrests",key_terms 208_arrests
"LLS","Language Line Service","Arrests",key_terms 208_arrests
"FORMS","Finest Online Records Management System","Arrests",key_terms 208_arrests
"Number","What It Represents","Arrests",key_terms 208_arrests
"6","Minimum total persons in a lineup (suspect + 5 others)","Arrests",key_terms 208_arrests
"2 years","Failed to appear in court — DAT disqualifier","Arrests",key_terms 208_arrests
"5 years","Lookback period for resisting recidivist classification (2+ arrests)","Arrests",key_terms 208_arrests
"30 minutes","Maximum interval for NYSID recheck during DAT processing","Arrests",key_terms 208_arrests
"4 days","If next tour > 4 days away, reassign DA conferral to another officer","Arrests",key_terms 208_arrests
"$500","Federal food stamp threshold for Operations Unit notification","Arrests",key_terms 208_arrests
"27","Number of specific offenses on the Order of Protection needed list (DAT disqualifier Category 3)","Arrests",key_terms 208_arrests
"7","Copies of 49 (Report on Typed Letterhead) to Chief of Department in a bribery arrest","Arrests",key_terms 208_arrests
"3","Steps in the Attempted Bribery (getting wired up) procedure (PG 208-35)","Arrests",key_terms 208_arrests
"3","Places the IAB Log # must appear when MOS commits DV offense (DIR Results box, 61 Details, FORMS Database)","Arrests",key_terms 208_arrests
"5","Copies of 49 (+1 if guns removed) for MOS DV offense report","Arrests",key_terms 208_arrests
"10 years","Lookback period for Menacing 1st (do Menacing 2nd with conviction in last 10 years) — DAT Category 3 disqualifier","Arrests",key_terms 208_arrests
"5 years","Lookback period for Aggravated Family Offense (family offense with prior conviction within 5 years) — DAT Category 3 disqualifier","Arrests",key_terms 208_arrests
"Summons","A written directive ordering a person to appear before a court or administrative tribunal at a specified date and time to answer for a violation or offense","Summonses",key_terms 209_summonses
"Civil Summons (OATH)","A summons issued under the CJRA for one of 6 specified violations, returnable to OATH instead of Criminal Court","Summonses",key_terms 209_summonses
"Personal Service","Direct hand-delivery of a summons to the violator, with verbal notification of the offense charged","Summonses",key_terms 209_summonses
"CJRA (Criminal Justice Reform Act of 2016)","Legislation allowing 6 specified violations to be processed as civil summonses returnable to OATH rather than criminal summonses returnable to Criminal Court","Summonses",key_terms 209_summonses
"OATH (Office of Administrative Trials and Hearings)","NYC administrative tribunal that adjudicates civil violations including CJRA offenses, vendor violations, health code violations, noise complaints, and environmental offenses","Summonses",key_terms 209_summonses
"OATH Recidivist","A person ineligible for CJRA civil summons due to: (1) 2+ felony arrests in past 2 years, (2) 3+ unanswered OATH summonses in past 8 years, OR (3) currently on parole or probation","Summonses",key_terms 209_summonses
"ECB (Environmental Control Board)","Now part of OATH; adjudicates environmental, building, and zoning violations","Summonses",key_terms 209_summonses
"#","Violation","Summonses",key_terms 209_summonses
"1","Open Container (alcohol)","Summonses",key_terms 209_summonses
"2","Public Urination","Summonses",key_terms 209_summonses
"3","Littering","Summonses",key_terms 209_summonses
"4","Spitting","Summonses",key_terms 209_summonses
"5","Excessive Noise","Summonses",key_terms 209_summonses
"6","NYC Park Rules","Summonses",key_terms 209_summonses
"Code","Meaning","Summonses",key_terms 209_summonses
"Code 1","OATH Recidivist — issue Criminal Court summons","Summonses",key_terms 209_summonses
"Code 2","Active warrant or I-card — issue Criminal Court summons","Summonses",key_terms 209_summonses
"Code 3","Law enforcement exception — issue Criminal Court summons","Summonses",key_terms 209_summonses
"Code 4","Non-CJRA violation or multiple violations","Summonses",key_terms 209_summonses
"Abandoned Vehicle","A vehicle with: (1) no plates for 6+ hours, (2) on public street for 7+ consecutive days, OR (3) on another's property for 96+ hours","Summonses",key_terms 209_summonses
"Derelict Vehicle","A vehicle that is dilapidated, burned, or stripped, with no value except as scrap metal","Summonses",key_terms 209_summonses
"Urgent Police Action","Response to an emergency, active pursuit, or moving surveillance","Summonses",key_terms 209_summonses
"Necessary Police Action","Less than urgent; enhances safety of an operation; NOT solely for the member's convenience","Summonses",key_terms 209_summonses
"Valid Verifiable Defense","A legitimate, verifiable defense to a summons; safety violations are NOT eligible unless urgent or necessary police action occurred","Summonses",key_terms 209_summonses
"Safety Violation","Specific parking violations (double parking, fire hydrant, sidewalk, bus stop, crosswalk, obstruction of traffic, no standing, snow emergency, no parking-authorized vehicles, no stopping, no parking-taxi stand) requiring urgent/necessary police action defense","Summonses",key_terms 209_summonses
"Suspended License","A driver's license that has been temporarily withdrawn by DMV; operator is prohibited from driving","Summonses",key_terms 209_summonses
"Revoked License","A driver's license that has been permanently withdrawn by DMV; operator must reapply","Summonses",key_terms 209_summonses
"14-Day Correction Window","Period within which a violator may claim suspension/revocation was corrected; accept validated license, temporary license, or DMV receipt","Summonses",key_terms 209_summonses
"False Personation","PL 190.23; providing a false identity, particularly relevant during suspended/revoked license stops","Summonses",key_terms 209_summonses
"Agency","Abbreviation","Summonses",key_terms 209_summonses
"NYC Department of Finance — Parking Violations Operations","DOF/PVO","Summonses",key_terms 209_summonses
"NYS DMV Traffic Violations Bureau","TVB","Summonses",key_terms 209_summonses
"NYC Criminal Court","—","Summonses",key_terms 209_summonses
"Office of Administrative Trials and Hearings","OATH","Summonses",key_terms 209_summonses
"Transit Adjudication Bureau","TAB","Summonses",key_terms 209_summonses
"Feature","DAT (Desk Appearance Ticket)","Summonses",key_terms 209_summonses
"Issued after","Custodial arrest and processing","Summonses",key_terms 209_summonses
"Requires arrest","Yes — person is arrested, processed, then released with DAT","Summonses",key_terms 209_summonses
"Fingerprinted","Yes","Summonses",key_terms 209_summonses
"Eligible offenses","Class E felonies, misdemeanors, violations","Summonses",key_terms 209_summonses
"Reference","P.G. 208-27","Summonses",key_terms 209_summonses
"Form Name","Form Number","Summonses",key_terms 209_summonses
"Parking Summons","—","Summonses",key_terms 209_summonses
"TVB Summons","—","Summonses",key_terms 209_summonses
"Criminal Court Summons","—","Summonses",key_terms 209_summonses
"OATH Civil Summons","—","Summonses",key_terms 209_summonses
"TAB Summons","—","Summonses",key_terms 209_summonses
"REMOVAL OF IGNITION KEY","PD571-121","Summonses",key_terms 209_summonses
"SEIZED DRIVER'S LICENSE RECEIPT/REPORT","PD634-152","Summonses",key_terms 209_summonses
"SUMMONS PLEA FORM","—","Summonses",key_terms 209_summonses
"VEHICLE REPORT","—","Summonses",key_terms 209_summonses
"Abbreviation","Full Name","Summonses",key_terms 209_summonses
"AC","Administrative Code (NYC)","Summonses",key_terms 209_summonses
"BWC","Body-Worn Camera","Summonses",key_terms 209_summonses
"CJRA","Criminal Justice Reform Act (2016)","Summonses",key_terms 209_summonses
"DMV","Department of Motor Vehicles (NYS)","Summonses",key_terms 209_summonses
"DOF","Department of Finance (NYC)","Summonses",key_terms 209_summonses
"ECB","Environmental Control Board","Summonses",key_terms 209_summonses
"NYSPIN","New York Statewide Police Information Network","Summonses",key_terms 209_summonses
"OATH","Office of Administrative Trials and Hearings","Summonses",key_terms 209_summonses
"PL","Penal Law (NYS)","Summonses",key_terms 209_summonses
"PVO","Parking Violations Operations","Summonses",key_terms 209_summonses
"RTR","Right to Record","Summonses",key_terms 209_summonses
"TAB","Transit Adjudication Bureau","Summonses",key_terms 209_summonses
"TVB","Traffic Violations Bureau","Summonses",key_terms 209_summonses
"VTL","Vehicle and Traffic Law (NYS)","Summonses",key_terms 209_summonses
"Number","What It Represents","Summonses",key_terms 209_summonses
"3 minutes","Threshold for unattended vehicle with key in ignition before removal","Summonses",key_terms 209_summonses
"6 hours","No plates displayed = abandoned vehicle","Summonses",key_terms 209_summonses
"7 days","On public street = abandoned vehicle","Summonses",key_terms 209_summonses
"96 hours","On another's property = abandoned vehicle","Summonses",key_terms 209_summonses
"48 hours","Unclaimed ignition key invoiced to Property Clerk","Summonses",key_terms 209_summonses
"14 days","Correction window for suspended/revoked license claims","Summonses",key_terms 209_summonses
"28 days","TAB summons return date (calendar days from issuance)","Summonses",key_terms 209_summonses
"30 days","Deadline to forward Summons Plea Form for dept vehicle summons","Summonses",key_terms 209_summonses
"2 years","Lookback period for felony arrests (OATH Recidivist — 2+ arrests)","Summonses",key_terms 209_summonses
