Front,Back,Category,Tags
"**208 — 208 SPECIAL ARRESTS**","The supervisor must verify that the civilian's arrest meets the legal standard — the offense must have been committed in the civilian's presence. If the legal basis is questionable, consult with Legal Bureau.","Arrests",sergeant_focus
"**208 — 208 SPECIAL ARRESTS**","Supervisors must determine the citizenship status of all prisoners and ensure proper consular notification. Failure to provide mandatory notification can have diplomatic consequences and may compromise prosecution.","Arrests",sergeant_focus
"**208 — 208 SPECIAL ARRESTS**","This mirrors the search guidelines in P.G. 208-05. The desk officer has ultimate authority within the command on religious head covering decisions during arrest processing.","Arrests",sergeant_focus
"**208 — 208 SPECIAL ARRESTS**","Supervisors should ensure that eligible defendants are identified for Project Reset during processing. The program criteria are narrow — age 18+, first-time offender, non-violent misdemeanor only.","Arrests",sergeant_focus
"**208 — 208 UMOS CMOS DOMESTIC VIOLENCE**","Supervisors play a critical role in MOS DV incidents. The C.O./Duty Captain makes the duty status decision (not IAB), but must have IAB conduct a background check first. The confidential file requirement is ongoing — the C.O. maintains it for ALL MOS who have been involved in DV incidents.","Arrests",sergeant_focus
"**209 — 209 CONDITIONS AND TYPES**","Supervisors must verify that officers correctly distinguish between violations (summons-eligible for 16-year-olds) and non-VTL misdemeanors (not summons-eligible for 16-year-olds). This is a common error in the field.","Summonses",sergeant_focus
"**209 — 209 CONDITIONS AND TYPES**","When a Criminal Court summons is issued under Code 3 (law enforcement exception), a patrol supervisor MUST respond to the scene to verify the exception. This is a mandatory supervisory response — failure to respond is a procedural violation. Ensure officer details reason in digital Activity Log.","Summonses",sergeant_focus
"**209 — 209 OATH**","Supervisors should ensure officers correctly route OATH-eligible offenses to OATH rather than Criminal Court. Misrouting creates unnecessary court appearances and administrative burden.","Summonses",sergeant_focus
"**209 — 209 PARKING**","Supervisors should periodically review parking summons issuance to verify all 5 mandatory elements are present. A pattern of dismissals due to missing elements indicates a training deficiency.","Summonses",sergeant_focus
"**209 — 209 PARKING**","The desk officer is responsible for tracking unclaimed keys and ensuring timely invoicing to the Property Clerk after 48 hours. Supervisors should include ignition key removals in their review of daily activity.","Summonses",sergeant_focus
"**209 — 209 SPECIALIZED**","Supervisors should monitor that officers conduct mandatory license checks at every qualifying stop. The Activity Log entry when DMV is inoperative creates the audit trail.","Summonses",sergeant_focus
"**209 — 209 SPECIALIZED**","Verify that officers park the violator's vehicle in a legal area rather than leaving it in traffic. The vehicle remains until the registered owner (not the violator with the suspended license) arranges removal.","Summonses",sergeant_focus
"**209 — 209 SPECIALIZED**","Supervisors must review Summons Plea Forms for accuracy and ensure they are forwarded within the 30-day deadline. Verify that officers claiming ""necessary police action"" can articulate how the action enhanced safety — ""convenience"" is explicitly excluded.","Summonses",sergeant_focus
"**209 — 209 SPECIALIZED**","Supervisors play a critical role in the summons voiding process. Every voided summons requires supervisory review to prevent abuse. Monitor voiding patterns — an officer with an unusually high void rate may indicate a training issue or integrity concern.","Summonses",sergeant_focus
"**209 — 209 TRAFFIC**","Supervisors must verify that Vehicle Reports are completed for every stop. Missing reports indicate either unreported stops or incomplete documentation — both require corrective action.","Summonses",sergeant_focus
"**210 — 210 GENERAL PROCEDURE**","The desk officer is the central authority for prisoner management at the command level. Sergeants must ensure desk officers are actively managing cellblock assignments, custody records, and attendant assignments — not delegating these responsibilities.","Prisoners",sergeant_focus
"**210 — 210 GENERAL PROCEDURE**","Before ANY prisoner is removed from the command, the desk officer must step from behind the desk and personally check that prisoners are properly secured. This is a physical, hands-on duty — not a visual check from behind the desk.","Prisoners",sergeant_focus
"**210 — 210 GENERAL PROCEDURE**","The immediate supervisor (sergeant) makes the determination on whether to use less restrictive restraints for pregnant prisoners. This is a direct supervisory decision — not a desk officer or commanding officer decision. Document the assessment and rationale.","Prisoners",sergeant_focus
"**210 — 210 GENERAL PROCEDURE**","The desk officer must actively track whether the arresting agency has provided relief guards. If no relief arrives within 1 hour, a follow-up notification is required. Do not allow NYPD resources to be used as indefinite guard replacements for other agencies.","Prisoners",sergeant_focus
"**210 — 210 HOLDING PENS**","The patrol supervisor must respond to ALL unusual occurrences involving prisoners. Document the incident thoroughly in the Command Log, prepare required reports, and notify the commanding officer for serious incidents (death, escape, serious injury).","Prisoners",sergeant_focus
"**210 — 210 HOLDING PENS**","Sergeants have a dual responsibility: (1) ensure the designated MOS is conducting 30-minute inspections, and (2) personally and periodically inspect prisoners, recording their condition (sleeping, alert) and physical position (sitting, lying down). This documentation can be critical in liability situations.","Prisoners",sergeant_focus
"**210 — 210 HOLDING PENS**","Menstrual hygiene products must be provided upon request — do not wait for the prisoner to ask repeatedly. A female MOS must be assigned to escort the prisoner to the restroom. Failure to provide these basic accommodations is a supervisory failure.","Prisoners",sergeant_focus
"**210 — 210 MEDICAL MEALS**","When a prisoner requires medical treatment, the patrol supervisor must be notified. The sergeant should verify that the desk officer has properly documented the condition, arranged transport, and assigned a guard. Prisoners with medical conditions cannot simply be held in the cellblock. The supervisor must also evaluate the need for additional personnel, ESU, and ensure leg restraints are applied for hospital transport.","Prisoners",sergeant_focus
"**210 — 210 MEDICAL MEALS**","If a hospitalized prisoner is discharged before arraignment, the guarding member must obtain a signed medical release and escort the prisoner to court in rear cuffs. The sergeant should verify this process is followed — prisoners should not be released from the hospital without proper documentation and escort.","Prisoners",sergeant_focus
"**210 — 210 MEDICAL MEALS**","The desk officer has authority to authorize additional meals beyond the standard three periods. This includes situations where a prisoner missed a scheduled meal due to processing activities. Sergeants should ensure meal requests are handled promptly — denying food to a prisoner who missed a meal period is not acceptable.","Prisoners",sergeant_focus
"**210 — 210 MEDICAL MEALS**","For unusual occurrences, the CO/Duty Captain must personally investigate and prepare typed letterhead reports. The distribution is extensive — 3 copies DIRECT to Chief of Dept, plus 7 additional individual copies. For escapes, IAB must be notified in addition to Operations Unit.","Prisoners",sergeant_focus
"**210 — 210 RELEASE**","The patrol supervisor is the first-line authority for consent to release a prisoner. This conferral is mandatory — the arresting officer cannot unilaterally void an arrest or release a prisoner. If the patrol supervisor is unavailable, the desk officer or BCS supervisor serves as the alternate authority.","Prisoners",sergeant_focus
"**210 — 210 RELEASE**","When a voided arrest involves a fingerprinted prisoner, the BCS intake supervisor must fax DCJS to seal the record. Sergeants should verify this step is completed — failure to seal creates a permanent record from an invalid arrest.","Prisoners",sergeant_focus
"**210 — 210 RELEASE**","When there is a disagreement between the desk officer or BCS supervisor and an arresting officer from another agency regarding prisoner release, the matter is escalated to the precinct commander or duty captain. Sergeants should not attempt to resolve inter-agency disputes at their level — escalate promptly.","Prisoners",sergeant_focus
"**210 — 210 RELEASE**","The BCS Supervisor is the key decision-maker for Special Category designation, working in conjunction with EMS. The sergeant must ensure all 8 handling steps are completed, especially the MTP preparation and the ""Recommend Prisoner Be Separated"" checkbox.","Prisoners",sergeant_focus
"**210 — 210 RELEASE**","The Patrol Supervisor ensures the A/O-E/O accompanies the arrestee during transport (step 8). The desk officer is responsible for arranging both transports and conferring with BCS. The van operator must be qualified and trained in wheelchair lift operation.","Prisoners",sergeant_focus
"**211 — 211 COURT NOTIFICATIONS**","The roll call clerk shall access the CPR System 3 times daily:","Court & Agency Appearances",sergeant_focus
"**211 — 211 COURT NOTIFICATIONS**","The desk officer shall:","Court & Agency Appearances",sergeant_focus
"**211 — 211 COURT NOTIFICATIONS**","The roll call clerk shall:","Court & Agency Appearances",sergeant_focus
"**211 — 211 COURT NOTIFICATIONS**","The ACU supervisor shall notify the CO in writing when:","Court & Agency Appearances",sergeant_focus
"**211 — 211 DEPARTMENT ATTORNEY**","The supervisor determines if conferral with a Department attorney is necessary. This is a judgment call that falls directly on the sergeant.","Court & Agency Appearances",sergeant_focus
"**211 — 211 DEPARTMENT ATTORNEY**","A Command Log entry is required with the following information:","Court & Agency Appearances",sergeant_focus
"**211 — 211 DEPARTMENT ATTORNEY**","Sergeants must understand that they cannot override Department attorney advice. If a sergeant believes the attorney's advice is incorrect, the proper course is to notify the Department attorney of the conflicting opinion — not to direct the member to disregard the attorney's guidance. Following this protocol protects both the member and the supervisor from disciplinary action and civil liability.","Court & Agency Appearances",sergeant_focus
"**211 — 211 DEPARTMENT ATTORNEY**","Sergeants must ensure that civil lawsuit papers are handled promptly — failure to forward the REQUEST FOR LEGAL ASSISTANCE in time can result in a default judgment against the member. The CO must check both IAB Records Unit and Department Advocate's Office before completing Part B. The WHITE copy goes DIRECT to Legal Bureau, not through channels. Follow up after 10 business days.","Court & Agency Appearances",sergeant_focus
"**211 — 211 GOVERNMENTAL APPEARANCES**","Supervisors should ensure members understand the mandatory nature of cooperation with the AG's Misconduct Investigative Office. There is no discretion here — full cooperation is required.","Court & Agency Appearances",sergeant_focus
"**211 — 211 RDO PREVENTION**","When a member's court appearance is scheduled on an RDO:","Court & Agency Appearances",sergeant_focus
"**211 — 211 RDO PREVENTION**","Sergeants should be aware that the Integrity Control Officer monitors RDO court appearances for patterns that may indicate integrity issues.","Court & Agency Appearances",sergeant_focus
"**211 — 211 RDO PREVENTION**","Supervisors must ensure members understand that unilateral cancellation attempts do not relieve them of the obligation to appear. Only explicit concurrence from the requesting agency cancels the appearance.","Court & Agency Appearances",sergeant_focus
"**211 — 211 SUBPOENAS RECORDS**","Supervisors must understand that ANY Department document relevant to a case is considered to be in the prosecutor's possession. Failure to produce it is a Brady violation that can overturn a conviction.","Court & Agency Appearances",sergeant_focus
"**211 — 211 SUBPOENAS RECORDS**","For summary arrests, the arresting/assigned officer shall:","Court & Agency Appearances",sergeant_focus
"**211 — 211 TVB APPEARANCES**","Have the member logged into the computer system IMMEDIATELY.","Court & Agency Appearances",sergeant_focus
"**211 — 211 TVB APPEARANCES**","This is a direct sergeant responsibility and a likely exam topic.","Court & Agency Appearances",sergeant_focus
"**211 — 211 TVB APPEARANCES**","Codes 5 (Officer No-Show), 6 (No Prima Facie case), 7 (Cannot identify motorist), and 8 (No recollection) are the codes most likely to trigger training sergeant review and corrective action. These reflect officer performance issues.","Court & Agency Appearances",sergeant_focus
"**212 — 212 ELECTIONS**","Supervisors must ensure officers understand the guardrail boundaries, do not participate in the election process, and properly handle disputes about voting rights by referring to the county Supreme Court.","Command Operations",sergeant_focus
"**212 — 212 ELECTIONS**","Ensure all election materials are accounted for and properly secured. Verify that the transition from active voting to post-closing procedures occurs smoothly and without interference.","Command Operations",sergeant_focus
"**212 — 212 FIREARMS LICENSING**","Sergeants are the preferred rank for conducting rifle/shotgun permit surrender investigations.","Command Operations",sergeant_focus
"**212 — 212 FIREARMS LICENSING**","When a subordinate MOS becomes the subject of an ERPO, the supervisor must ensure immediate CO notification and initiation of the Modified Assignment process.","Command Operations",sergeant_focus
"**212 — 212 HOUSING OPERATIONS**","Patrol supervisors shall inspect Activity Logs to ensure NYCHA facilities are being inspected by members on post. Supervisors should recommend Departmental Recognition for burglary arrests at NYCHA facilities.","Command Operations",sergeant_focus
"**212 — 212 HOUSING OPERATIONS**","Patrol supervisor should respond to ensure proper coordination between NYPD and NYCHA maintenance staff, particularly when occupants include elderly or medically vulnerable individuals.","Command Operations",sergeant_focus
"**212 — 212 HOUSING OPERATIONS**","Supervisors shall review Activity Logs to verify interior patrols are being conducted and documented. Ensure members are varying patrol times and routes to maximize deterrent effect.","Command Operations",sergeant_focus
"**212 — 212 INTERACTION PROCEDURES**","Supervisors must ensure that communication accommodations are provided promptly and that the individual's preferred method of communication is the primary consideration. For pre-planned events, arrange interpreter services in advance through the Chief of Personnel.","Command Operations",sergeant_focus
"**212 — 212 MEDIA INFORMATION**","Patrol supervisor must investigate immediately when a press member is assaulted or harassed. Notification to DCPI must be made without delay. DCPI is available via phone 24/7.","Command Operations",sergeant_focus
"**212 — 212 MEDIA INFORMATION**","Supervisors must ensure members understand that press access cannot be restricted through police lines or frozen zones designed to block recording. Any incident involving the press requires immediate DCPI notification. The patrol supervisor must conduct an immediate investigation if press members are assaulted or harassed.","Command Operations",sergeant_focus
"**212 — 212 MEDIA INFORMATION**","Ensure subordinates understand that all grant/equipment/funding offers must be forwarded to the Police Commissioner — members have no authority to accept directly.","Command Operations",sergeant_focus
"**212 — 212 MISCELLANEOUS**","Preparation of a Traffic Intelligence Report does not relieve precinct personnel from taking other corrective action to expedite traffic flow and ensure pedestrian safety.","Command Operations",sergeant_focus
"**212 — 212 MISCELLANEOUS**","Patrol supervisor must respond personally when forced entry is detected at a DOE facility and assign a member to guard until the premises are secured.","Command Operations",sergeant_focus
"**212 — 212 MISCELLANEOUS**","Supervisors must verify coordinator availability before any auxiliary patrol deployment. No exceptions to the coordinator requirement.","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","Patrol supervisor shall respond and approve resolution (arrest, summons, court referral, or no action).","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","Patrol supervisor shall consult the duty captain when:","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","Patrol supervisor shall take command of the scene, coordinate with ESU, and ensure the area below is secured. Consider requesting additional resources (negotiators, mental health professionals) early.","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","Ensure desk officers are maintaining the Order of Protection Log properly and that service is attempted at least once per tour. The Domestic Violence Investigator is responsible for entering service information into the State Order of Protection Registry via FINEST.","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","Do NOT detain a properly identified and verified diplomat. All reports must still be prepared even when immunity applies.","Command Operations",sergeant_focus
"**212 — 212 SPECIAL INCIDENTS**","The PDS/BRAM Supervisor is responsible for reviewing all burglary/robbery complaints to determine case status (ACTIVE or CLOSED) and ensuring all investigative steps have been taken. Major case prints must be taken for every burglary arrest.","Command Operations",sergeant_focus
"**212 — 212 TECHNOLOGY SYSTEMS**","Supervisors conduct the final review in the facial recognition process. Ensure all subordinates understand that a possible match is an investigative lead only and must never be presented as establishing probable cause.","Command Operations",sergeant_focus
"**212 — 212 TOUR OPERATIONS**","Only authorized/approved protective vests will be worn.","Command Operations",sergeant_focus
"**212 — 212 TOUR OPERATIONS**","Supervisors must ensure meal periods are properly scheduled and documented. Key responsibilities include: assigning meal periods prior to posting details, ensuring members are not deprived of meals, and properly documenting any exigent circumstances that prevent granting meals.","Command Operations",sergeant_focus
"**212 — 212 TOUR OPERATIONS**","Desk officer shall check CPR System Roll Call to account for all members from previous tour. Conduct immediate investigation if any member failed to scan out.","Command Operations",sergeant_focus
"**212 — 212 TOUR OPERATIONS**","The desk officer shall maintain the Interrupted Patrol Log under direct control at all times and review it frequently during the tour to ensure member presence is being expedited.","Command Operations",sergeant_focus
"**212 — 212 TRANSIT OPERATIONS**","The supervisor shall review every Transit System Ejection Report for accuracy and completeness before approving it in FORMS. If the report is deficient, it must be returned to the member for correction.","Command Operations",sergeant_focus
"**212 — 212 TRANSIT OPERATIONS**","During radio malfunction:","Command Operations",sergeant_focus
"**213 — 213 FIRST AMENDMENT**","A sergeant can serve as Incident Commander at a Tier One response. However, any escalation beyond Tier One requires a higher-ranking IC. De-escalation is mandatory before enforcement -- this is not optional. Warnings must be given when feasible, and sufficient resources must be assembled before acting.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 FIRST AMENDMENT**","CAB protest liaisons may NOT wear civilian attire and may NOT be assigned to enforcement duties except in exceptional circumstances. If you see a CAB member in plainclothes at a demonstration, this is a procedure violation.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 FIRST AMENDMENT**","The arrest processing supervisor has direct responsibility for prisoner welfare: food, medical care, restrooms, and telephone access. Failure to provide these is a procedure violation. Track the clock -- 7 hours 30 minutes is the hard ceiling for First Amendment violation/misdemeanor processing.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 FIRST AMENDMENT**","While the full text is unavailable, know that at Tier One a sergeant can be the Incident Commander. Higher tiers require higher-ranking ICs. This tiered approach ensures proportional response to First Amendment events.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 MOBILIZATION READINESS**","All supervisors must know the kit's location. If you are newly assigned to a command, learn the kit location immediately. Ensure inspections occur on schedule in January and July.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 SECURITY ALERTS**","Be prepared for exam questions that test the order of alert levels or ask which color corresponds to which threat description. A common distractor is confusing BLUE (Guarded/General risk) with GREEN (Low risk).","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 SPECIAL EVENTS**","A critique report with overtime reporting is required after every special event. The sergeant must ensure the detail roster is complete and accurate.","Mobilization/Emergency Incidents",sergeant_focus
"**213 — 213 SPECIAL EVENTS**","Do not assume someone else has made traffic notifications. Verify that TMC has been contacted, especially for unscheduled events where the Operations Unit must also be informed.","Mobilization/Emergency Incidents",sergeant_focus
"**214 — 214 ALARM PROCEDURES**","Know the three service methods: personal, door service, and deferred (CPO serves next business day). No NOTICE is served if a crime was actually committed at the premises.","Quality of Life Matters",sergeant_focus
"**214 — 214 ALARM PROCEDURES**","Issuance is NOT mandatory. A repeated alarm cycle counts as one continuous action, not multiple violations. The white cardboard (agency) copy is affixed to the vehicle.","Quality of Life Matters",sergeant_focus
"**214 — 214 ALARM PROCEDURES**","The critical distinction is vehicle vs. building: MOS may deactivate vehicle alarms but are NOT permitted to deactivate building alarms. For building alarms, a summons may be issued after 15 minutes of continuous sounding.","Quality of Life Matters",sergeant_focus
"**214 — 214 BUILDINGS CONSTRUCTION**","The supervisor must respond, investigate, and make the determination about whether the condition involves safety or is solely a civil penalty matter.","Quality of Life Matters",sergeant_focus
"**214 — 214 BUILDINGS CONSTRUCTION**","Determine the degree of hazard and decide whether barriers, posted officers, or ESU response is appropriate.","Quality of Life Matters",sergeant_focus
"**214 — 214 BUILDINGS CONSTRUCTION**","The patrol supervisor is the decision-maker on whether to secure the premises. The chain of custody for the key runs from ESU to the desk officer to the assigned member when the owner appears.","Quality of Life Matters",sergeant_focus
"**214 — 214 BUILDINGS CONSTRUCTION**","The supervisor's first action is to ask the owner/tenant their preference for repair. An MOS must be assigned to secure the location until repairs are complete.","Quality of Life Matters",sergeant_focus
"**214 — 214 BUILDINGS CONSTRUCTION**","The desk officer is responsible for reviewing the warrant for proper judicial signature and expiration. Police authority is strictly limited to preserving peace — DOB handles all enforcement and rescheduling.","Quality of Life Matters",sergeant_focus
"**214 — 214 ENFORCEMENT PROGRAMS**","The Special Ops Lt is responsible for packaging and forwarding information to the DA's Narcotics Eviction Program Coordinator. The CO/XO/Special Ops Lt must review all narcotics arrest reports for eviction potential.","Quality of Life Matters",sergeant_focus
"**214 — 214 ENFORCEMENT PROGRAMS**","Ensure MOS obtain the CVTF log number and enter it in the ""Notifications"" section of the Complaint Report Worksheet.","Quality of Life Matters",sergeant_focus
"**214 — 214 ENFORCEMENT PROGRAMS**","Refusal to attend nightlife meetings is NOT sufficient grounds for a C.U.R.E. operation. Know the three possible outcomes after the 30-day notice period: conduct operation, additional monitoring, or no further action.","Quality of Life Matters",sergeant_focus
"**214 — 214 EVICTIONS CIVIL**","Class A misdemeanor but NOT fingerprintable. If DV potential exists between family/household members, follow DV guidelines and do NOT demand entrance. Arrest only when the violator cannot be identified OR refuses to permit reentry. If complainant refuses to sign summons, UMOS may sign ""based on information and belief.""","Quality of Life Matters",sergeant_focus
"**214 — 214 EVICTIONS CIVIL**","The police role is exclusively peacekeeping. When arrest is made for unlawful eviction: OLBS only — no Complaint Report, no fingerprints, no photo, no DAT. If subject refuses entry to the marshal, the patrol supervisor should consider making them an EDP. Police cannot break in to let a tenant re-enter unless medicine vital to life is inside.","Quality of Life Matters",sergeant_focus
"**214 — 214 EVICTIONS CIVIL**","Special Ops Lt conducts a weekly inspection of the precinct mediation referral file. This program is reserved for situations where there is no basis to take enforcement action — it is not a substitute for proper enforcement.","Quality of Life Matters",sergeant_focus
"**214 — 214 MISCELLANEOUS QOL**","The patrol supervisor is the decision-maker. Always consult Legal Bureau for obscenity matters. Know the distinction: PL 235 requires judicial determination; PL 245.11 allows summary enforcement.","Quality of Life Matters",sergeant_focus
"**214 — 214 MISCELLANEOUS QOL**","The desk officer must notify the Dept of Health and Mental Hygiene by phone for three situations: human bitten/scratched/abraded, human exposed to rabid animal, or owner located after form forwarded. ESU bags the animal, RMP transports to ACC. Know all four dangerous dog categories and the Agriculture & Markets Law sections. ACC Brooklyn Control Center is open 24/7; Rescue Units are Mon-Fri 0800-2000.","Quality of Life Matters",sergeant_focus
"**214 — 214 MISCELLANEOUS QOL**","Multiple supervisory layers with different frequencies: hourly (desk officer refresh), daily (0800 review, callbacks), weekly (chronic conditions list), monthly (311 caller audit). The 10-42 code is used to notify Communications Section with location and type of job. Disposition 10-95 for referrals to other agencies. The CO breaks the chain of command by personally directing the NCO Sgt. Give special attention to 311 assignments with media files (photos).","Quality of Life Matters",sergeant_focus
"**214 — 214 VEHICLES SNOW**","The activation mechanism is the FINEST message. For vehicles that can still move, the response is a warning and direction to leave, not immediate enforcement.","Quality of Life Matters",sergeant_focus
"**214 — 214 VEHICLES SNOW**","The desk officer must assign the 5-day follow-up check and then contact the Department of Sanitation if the vehicle remains. Derelict vehicles are only taken into police custody when needed as evidence.","Quality of Life Matters",sergeant_focus
"**214 — 214 VEHICLES SNOW**","The 2-month expiration threshold is the trigger. Know the distinction between unoccupied vehicles (remove plates on scene) and occupied vehicles (remove to stationhouse per P.G. 218-12).","Quality of Life Matters",sergeant_focus
"**214 — 214 VEHICLES SNOW**","Two key notifications: the owner about towing fees, and the Stolen Property Inquiry Unit about the vehicle. Highway vehicles can push to safe parking only — never to repair shops or private property.","Quality of Life Matters",sergeant_focus
"**215 — 215 CHILD PROTECTION**","Verify the desk officer has completed the full notification chain: ACS IRT, State Central Registry, SVU, and the appropriate borough Child Abuse Squad. Ensure the REPORT OF SUSPECTED CHILD ABUSE OR MALTREATMENT (PD377-154) is prepared.","Juvenile Matters",sergeant_focus
"**215 — 215 CHILD PROTECTION**","A patrol supervisor MUST respond to ACS CPS assistance calls.","Juvenile Matters",sergeant_focus
"**215 — 215 CHILD PROTECTION**","The desk officer must ensure MOS are trained in proper child car seat installation and use.","Juvenile Matters",sergeant_focus
"**215 — 215 CHILD PROTECTION**","The training sergeant is responsible for ensuring ALL members are trained on child car seat usage.","Juvenile Matters",sergeant_focus
"**215 — 215 JUVENILE DELINQUENCY**","Ensure the desk officer has verified that (1) the Juvenile Strategies Unit was contacted before arrest, (2) parent/guardian was notified immediately, (3) Miranda warnings were administered with parent/guardian present using PD244-1413, and (4) no questioning occurred if the parent objected or requested an attorney.","Juvenile Matters",sergeant_focus
"**215 — 215 JUVENILE DELINQUENCY**","The CO must forward a report to the Chief of Department for specific premises types.","Juvenile Matters",sergeant_focus
"**215 — 215 LOST RUNAWAY CHILDREN**","Ensure the desk officer completes the full notification chain — Missing Persons Squad in all cases, ACS if child unclaimed, and detective squad/SVU if abuse is suspected.","Juvenile Matters",sergeant_focus
"**215 — 215 LOST RUNAWAY CHILDREN**","Verify that the desk officer has made all required notifications. For runaway children, Missing Persons Squad notification is mandatory regardless of whether the parent has been contacted.","Juvenile Matters",sergeant_focus
"**215 — 215 SCHOOL RELATED**","Evaluate whether the offense justifies an on-campus arrest. For property crimes that are felonies, consider whether the arrest can be deferred to off-campus.","Juvenile Matters",sergeant_focus
"**215 — 215 SCHOOL RELATED**","When responding to school incidents, ensure:","Juvenile Matters",sergeant_focus
"**215 — 215 SCHOOL RELATED**","Ensure School Safety Agents understand that their search authority derives from the principal/designee, not from independent police authority. Monitor for compliance with the strip-search prohibition and same-gender search requirement.","Juvenile Matters",sergeant_focus
"**215 — 215 SCHOOL RELATED**","The School Safety Division Counterterrorism Unit must be consulted before taking enforcement action. The CO makes the final call on the threat level and response. Low-level threats should be handled through school discipline, not enforcement.","Juvenile Matters",sergeant_focus
